gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000163374.19_YY1AP1	8623.5	3.1	2.542e-73	4.954e-71
ENSG00000150768.15_DLAT	2004.4	-4	3.045e-73	5.149e-71
ENSG00000112425.15_EPM2A	651.3	5.2	5.992e-73	6.056e-71
ENSG00000035403.17_VCL	7444.1	5.1	3.521e-73	6.106e-71
ENSG00000239521.8_CASTOR3	388	5.2	7.990e-73	6.892e-71
ENSG00000164253.14_WDR41	1334	-3.9	7.140e-73	9.239e-71
ENSG00000154845.15_PPP4R1	2488	-3.2	8.165e-73	1.053e-70
ENSG00000119950.21_MXI1	33711.7	4.8	9.042e-73	1.163e-70
ENSG00000112343.11_TRIM38	2297.3	4.3	7.888e-73	1.306e-70
ENSG00000105607.13_GCDH	2699.4	2.8	1.554e-72	2.081e-70
ENSG00000130830.15_MPP1	48547.4	3.4	1.228e-72	2.318e-70
ENSG00000115977.19_AAK1	6004.4	5.5	2.378e-72	3.166e-70
ENSG00000173409.14_ARV1	2014.4	-4.4	3.530e-72	5.779e-70
ENSG00000160691.18_SHC1	4829.8	2.5	5.695e-72	7.198e-70
ENSG00000116209.12_TMEM59	9451.5	3.5	5.771e-72	7.274e-70
ENSG00000173926.6_MARCHF3	6328.1	4.2	3.932e-72	7.315e-70
ENSG00000118046.16_STK11	22864.3	3.4	4.511e-72	8.368e-70
ENSG00000118513.19_MYB	9127.4	-4.8	8.339e-72	1.091e-69
