gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000213363.4_RPS3P6	23.8	1.6	1.579e-05	6.069e-04
ENSG00000235776.2_AC000089.1	32.4	1.7	1.154e-05	6.159e-04
ENSG00000226742.4_HSBP1L1	247.3	2	2.178e-05	6.302e-04
ENSG00000280739.3_EIF1B-AS1	67.7	1.2	1.321e-05	6.302e-04
ENSG00000167880.7_EVPL	96	3.3	1.543e-05	6.330e-04
ENSG00000273145.1_BX537318.1	19.1	2.3	1.293e-05	6.373e-04
ENSG00000080200.10_CRYBG3	45.7	-2.8	9.615e-06	6.447e-04
ENSG00000141013.17_GAS8	171.3	0.7	2.284e-05	6.492e-04
ENSG00000239528.1_RPS14P8	9.8	5.2	5.760e-06	6.492e-04
ENSG00000230383.1_AC009245.1	39.2	1.5	1.267e-05	6.590e-04
ENSG00000151276.23_MAGI1	44.1	-3.1	1.360e-05	6.663e-04
ENSG00000185340.15_GAS2L1	1486.7	-1.4	1.136e-05	6.915e-04
ENSG00000214460.3_TPT1P6	21.3	2.3	1.343e-05	6.915e-04
ENSG00000172780.16_RAB43	270.6	-6.2	1.475e-05	6.947e-04
ENSG00000249858.2_SNX5P1	6.9	3.9	4.228e-06	6.977e-04
ENSG00000224094.1_RPS24P8	50.8	1.5	1.625e-05	7.012e-04
ENSG00000089356.18_FXYD3	55.8	4.5	1.104e-05	7.160e-04
ENSG00000267544.1_AC007229.1	161.1	0.6	1.571e-05	7.160e-04
ENSG00000214182.5_PTMAP5	212.9	1.2	2.628e-05	7.230e-04
ENSG00000109099.15_PMP22	585.3	1.6	1.590e-05	7.346e-04
ENSG00000196482.18_ESRRG	24	-5.7	1.148e-05	7.361e-04
ENSG00000182752.10_PAPPA	778.3	-3.6	1.524e-05	7.444e-04
ENSG00000228956.8_SATB1-AS1	115.8	1.6	1.690e-05	7.587e-04
ENSG00000119650.12_IFT43	191.5	0.9	1.612e-05	7.822e-04
ENSG00000244585.1_RPL12P33	20.2	2.2	1.236e-05	7.826e-04
ENSG00000250125.4_LINC02232	36.5	-4.2	1.884e-05	7.876e-04
ENSG00000140795.13_MYLK3	107.1	-1.7	1.703e-05	8.004e-04
ENSG00000064201.15_TSPAN32	1504.3	-1.7	1.417e-05	8.120e-04
