gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000164684.13_ZNF704	144.1	-1.5	1.146e-04	5.034e-03
ENSG00000173614.14_NMNAT1	222.8	-0.5	8.877e-05	5.046e-03
ENSG00000164542.12_KIAA0895	121.7	1.1	8.789e-05	5.047e-03
ENSG00000222014.6_RAB6C	11.3	21.1	4.207e-05	5.116e-03
ENSG00000105357.18_MYH14	18.6	6.1	6.297e-05	5.179e-03
ENSG00000197635.10_DPP4	32.6	-3	9.341e-05	5.179e-03
ENSG00000136811.16_ODF2	3118.8	-0.6	5.168e-05	5.233e-03
ENSG00000237172.4_B3GNT9	39.5	1.7	1.235e-04	5.280e-03
ENSG00000165626.17_BEND7	96.4	3.5	9.826e-05	5.492e-03
ENSG00000174099.11_MSRB3	793.9	1.4	7.790e-05	5.492e-03
ENSG00000072182.12_ASIC4	103.7	-2.9	1.191e-04	5.502e-03
ENSG00000110042.8_DTX4	30.1	-2.8	1.191e-04	5.502e-03
ENSG00000005884.18_ITGA3	32.6	3.3	1.002e-04	5.516e-03
ENSG00000155465.18_SLC7A7	35.4	-2.1	1.024e-04	5.516e-03
ENSG00000269858.6_EGLN2	6687.8	0.6	8.537e-05	5.683e-03
ENSG00000154229.12_PRKCA	210.7	-1.1	1.372e-04	5.688e-03
ENSG00000099998.17_GGT5	34.8	-2.8	1.063e-04	5.704e-03
ENSG00000244482.10_LILRA6	32.3	-5.2	1.085e-04	5.749e-03
ENSG00000078114.18_NEBL	53.6	5.6	1.090e-04	5.754e-03
ENSG00000244734.4_HBB	8359287.3	2.7	4.319e-05	5.791e-03
ENSG00000260188.1_AC002464.1	82.1	2.6	1.335e-04	5.964e-03
ENSG00000230204.1_FTH1P5	86.2	2.4	1.131e-04	6.043e-03
ENSG00000151967.18_SCHIP1	52	2.9	1.135e-04	6.045e-03
ENSG00000110077.14_MS4A6A	40.2	-3.3	1.143e-04	6.064e-03
ENSG00000206172.8_HBA1	3063342.4	2	1.027e-04	6.090e-03
ENSG00000181588.16_MEX3D	217.7	1	1.170e-04	6.162e-03
ENSG00000124067.17_SLC12A4	1884.5	1	9.706e-05	6.183e-03
ENSG00000121807.5_CCR2	31.5	-3.1	1.214e-04	6.257e-03
ENSG00000162174.12_ASRGL1	253.4	1.1	1.601e-04	6.332e-03
ENSG00000245680.10_ZNF585B	320.4	-0.8	1.253e-04	6.417e-03
ENSG00000099250.18_NRP1	20.5	-5	8.609e-05	6.455e-03
ENSG00000107551.21_RASSF4	40.1	-4.2	1.258e-04	6.473e-03
ENSG00000204577.11_LILRB3	79.2	-2.1	1.518e-04	6.473e-03
ENSG00000204577.11_LILRB3	79.2	-2.1	1.518e-04	6.473e-03
ENSG00000158869.11_FCER1G	154.2	-2.4	1.353e-04	6.892e-03
ENSG00000187266.14_EPOR	10493.1	0.8	5.442e-05	6.892e-03
ENSG00000169242.12_EFNA1	110.2	1.7	1.700e-04	7.172e-03
ENSG00000175602.4_CCDC85B	484.7	2.2	1.534e-04	7.209e-03
ENSG00000242992.3_FTH1P4	184.3	1.6	1.475e-04	7.320e-03
ENSG00000100711.13_ZFYVE21	2931.3	0.6	1.205e-04	7.335e-03
ENSG00000143344.15_RGL1	16.6	-4.2	9.181e-05	7.362e-03
ENSG00000129195.16_PIMREG	103	-1.8	1.479e-04	7.366e-03
ENSG00000090382.7_LYZ	1049.5	-3.4	1.267e-04	7.419e-03
ENSG00000163220.11_S100A9	1048.6	-4.3	1.197e-04	7.419e-03
ENSG00000204577.11_LILRB3	79.2	-2.1	1.518e-04	7.419e-03
ENSG00000164604.12_GPR85	78	-2.4	1.813e-04	7.421e-03
ENSG00000204577.11_LILRB3	79.2	-2.1	1.518e-04	7.434e-03
ENSG00000168564.6_CDKN2AIP	2193.7	0.7	1.303e-04	7.721e-03
